REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2012,07,2,21,049,06,1,006,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,050,06,1,016,10,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,051,05,1,025,04,12000,3,1,854,1,06,12,   , ,  ,  
11,2012,07,3,21,052,10,1,040,04,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,054,02,1,052,02,07000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,054,03,1,053,02,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,054,05,1,055,02,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,055,02,1,062,03,50000,1,1,233,1,45,24,   , ,  ,  
11,2012,07,2,21,055,04,1,064,02,12000,3,1,122,2,03,12,711,1,43,06
11,2012,07,2,21,055,05,1,065,03,10000,3,1,719,1,03,06,   , ,  ,  
11,2012,07,2,21,055,06,1,066,02,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,055,08,1,068,01,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,21,056,07,1,158,04,18000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,057,02,1,163,03,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,21,060,04,1,084,02,10000,2,1,871,2,03,12,122,1,03,12
11,2012,07,2,21,063,05,1,125,04,25000,3,1,719,2,46,12,   , ,  ,  
11,2012,07,2,21,064,01,1,131,03,16000,2,1,231,2,03,12,   , ,  ,  
11,2012,08,1,21,068,04,1,024,01,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,069,03,1,033,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,072,01,1,061,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,072,03,1,063,03,12000,1,1,122,1,43,03,   , ,  ,  
11,2012,08,2,21,072,10,1,070,02,05000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,075,03,1,094,05,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,076,01,1,101,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,080,04,1,144,03,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,085,05,1,025,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,085,07,1,027,03,50000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,089,02,1,052,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,089,09,1,059,02,12000,1,1,719,2,46,06,   , ,  ,  
11,2012,09,2,21,092,05,1,085,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,095,02,1,114,02,15000,2,1,218,1,43,04,   , ,  ,  
11,2012,09,2,21,098,07,1,147,03,18000,2,2,   , ,  ,  ,   , ,  ,  
