REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2012,12,2,21,143,06,1,106,04, ,1,4115,1
12,2012,12,2,21,144,09,1,119,03,6,2,    , 
12,2012,04,2,22,003,06,1,036,01,3,1,7433,1
12,2012,04,2,22,004,02,1,002,04,3,2,    , 
12,2012,07,1,22,015,04,1,035,03,2,2,    , 
12,2012,07,2,22,016,10,1,020,03,2,1,4115,1
12,2012,07,2,22,016,10,1,020,04,2,1,2419,1
12,2012,07,2,22,018,05,1,046,02,3,1,4211,1
12,2012,07,2,22,018,09,1,050,02, ,1,5169,1
12,2012,07,2,22,018,10,1,051,03,3,2,    , 
12,2012,08,2,22,019,01,1,031,02,3,1,2332,3
12,2012,08,1,22,020,08,1,048,02,9,1,2340,1
12,2012,08,2,22,022,09,1,029,02,2,2,    , 
12,2012,09,3,22,028,04,1,034,02,3,1,7436,1
12,2012,10,2,22,031,10,1,050,03,4,1,7436,1
12,2012,12,2,22,039,07,1,037,02,9,1,9341,1
12,2012,12,2,22,040,09,1,009,03,3,1,9341,1
12,2012,12,2,22,041,09,1,019,01,9,1,8281,3
12,2012,05,2,23,010,04,1,044,04,1,2,    , 
12,2012,05,3,23,011,07,1,057,04,1,2,    , 
12,2012,06,2,23,012,07,1,007,02,1,2,    , 
12,2012,06,2,23,013,03,1,013,03,4,2,    , 
12,2012,06,3,23,015,06,1,036,01,1,1,8274,1
12,2012,07,2,23,018,03,1,003,04,3,2,    , 
12,2012,07,1,23,022,07,1,047,03,1,2,    , 
12,2012,09,2,23,031,10,1,010,03, ,2,    , 
12,2012,10,2,23,038,03,1,013,04,3,2,    , 
12,2012,11,2,23,045,02,1,012,03, ,2,    , 
12,2012,12,2,23,051,06,1,016,04, ,2,    , 
12,2012,04,2,31,007,02,1,072,03,1,2,    , 
12,2012,04,2,31,007,02,1,072,04,1,2,    , 
12,2012,04,2,31,007,02,1,072,05,1,2,    , 
12,2012,04,2,31,007,06,1,076,03,2,2,    , 
12,2012,06,2,31,031,03,1,063,04,1,2,    , 
12,2012,07,2,31,042,05,1,045,03, ,2,    , 
12,2012,07,2,31,042,09,1,049,03, ,2,    , 
12,2012,07,2,31,042,09,1,049,04, ,2,    , 
12,2012,07,2,31,045,01,1,071,03,1,2,    , 
12,2012,07,1,31,046,06,1,086,03,2,2,    , 
12,2012,08,2,31,054,07,1,039,03,2,2,    , 
12,2012,08,2,31,055,08,1,048,03,3,2,    , 
12,2012,10,2,31,078,03,1,013,03, ,2,    , 
12,2012,10,2,31,089,06,1,126,03,2,2,    , 
12,2012,11,2,31,092,02,1,022,03, ,2,    , 
12,2012,11,2,31,095,02,1,052,03,1,2,    , 
12,2012,11,2,31,095,02,1,052,04,1,2,    , 
12,2012,11,2,31,095,04,1,054,03,1,2,    , 
12,2012,11,2,31,095,04,1,054,04,1,2,    , 
12,2012,11,2,31,095,09,1,059,03,1,2,    , 
12,2012,11,2,31,095,09,1,059,04,1,2,    , 
12,2012,11,2,31,099,08,1,098,03, ,2,    , 
12,2012,12,2,31,105,03,1,023,02,9,2,    , 
12,2012,12,2,31,105,04,1,024,02,1,2,    , 
12,2012,12,2,31,105,08,1,028,03, ,2,    , 
12,2012,12,2,31,105,08,1,028,04, ,2,    , 
12,2012,12,2,31,105,10,1,030,03, ,2,    , 
12,2012,12,2,31,108,04,1,054,02,2,2,    , 
12,2012,12,2,31,108,08,1,058,05,1,2,    , 
12,2012,12,2,31,108,08,1,058,07,1,2,    , 
12,2012,12,2,31,110,03,1,073,01,2,1,5220,3
12,2012,12,2,31,110,08,1,078,01,2,1,7231,3
12,2012,12,2,31,113,06,1,106,02,3,2,    , 
12,2012,12,2,31,113,07,1,107,02,9,1,4211,1
12,2012,12,2,31,113,07,1,107,03,9,1,7433,1
12,2012,12,2,31,114,06,1,116,05,2,2,    , 
12,2012,04,2,32,002,02,1,012,03,2,2,    , 
12,2012,04,2,32,004,07,1,037,02, ,1,4141,1
12,2012,04,2,32,005,06,1,046,04,1,2,    , 
12,2012,04,2,32,006,06,1,056,03,4,1,1314,3
12,2012,04,2,32,008,05,1,075,05,1,1,7122,1
12,2012,04,2,32,008,06,1,076,01,1,1,9211,1
12,2012,04,1,32,009,07,1,087,02,1,2,    , 
12,2012,04,1,32,009,07,1,087,03,1,2,    , 
12,2012,04,1,32,009,08,1,088,03,1,1,6111,3
12,2012,05,3,32,012,02,1,012,03, ,1,4211,1
12,2012,05,2,32,014,08,1,038,03, ,1,7122,1
12,2012,05,2,32,017,07,1,067,04,2,2,    , 
12,2012,05,2,32,019,09,1,089,03,1,1,6153,1
12,2012,05,2,32,019,09,1,089,06,1,1,6153,1
12,2012,05,1,32,020,05,1,095,03,1,2,    , 
12,2012,05,2,32,022,05,1,115,02,2,1,7424,3
12,2012,05,2,32,022,08,1,118,03, ,1,6152,1
12,2012,06,2,32,023,03,1,003,02,5,1,9211,4
12,2012,06,2,32,025,03,1,023,04, ,2,    , 
12,2012,06,2,32,026,08,1,038,03,2,2,    , 
12,2012,06,2,32,028,06,1,046,03,2,1,9313,1
12,2012,06,2,32,029,10,1,111,03,9,2,    , 
12,2012,06,2,32,031,03,1,063,02,1,2,    , 
12,2012,06,1,32,032,02,1,072,03,1,2,    , 
12,2012,06,1,32,032,03,1,073,03, ,2,    , 
12,2012,06,1,32,032,03,1,073,04, ,2,    , 
12,2012,07,2,32,036,05,1,075,04,3,2,    , 
12,2012,07,2,32,036,07,1,077,05,3,2,    , 
12,2012,07,2,32,037,06,1,016,04,3,2,    , 
12,2012,07,2,32,039,09,1,049,04,3,2,    , 
12,2012,07,2,32,040,02,1,092,02, ,1,4122,1
12,2012,07,2,32,042,07,1,027,02, ,2,    , 
12,2012,07,1,32,043,02,1,062,05,3,1,9151,1
12,2012,07,1,32,043,06,1,066,01,9,1,0110,1
12,2012,07,1,32,043,06,1,066,06, ,1,3231,1
12,2012,07,1,32,043,08,1,068,03,2,2,    , 
12,2012,07,2,32,044,02,1,032,08,1,2,    , 
12,2012,07,2,32,044,09,1,039,03,6,2,    , 
12,2012,08,2,32,051,03,1,033,01,2,1,9211,1
12,2012,08,2,32,051,07,1,037,03, ,2,    , 
12,2012,08,1,32,054,05,1,055,01,1,2,    , 
12,2012,08,2,32,057,06,1,106,01,2,1,7124,1
12,2012,09,2,32,058,04,1,004,03, ,1,4121,1
12,2012,09,2,32,062,04,1,044,07,2,2,    , 
12,2012,09,2,32,065,01,1,061,04,2,2,    , 
12,2012,09,1,32,066,08,1,078,05,3,2,    , 
12,2012,09,2,32,067,03,1,083,03, ,2,    , 
12,2012,09,2,32,067,09,1,089,02,3,1,9341,1
12,2012,09,2,32,067,09,1,089,03,3,1,9341,1
12,2012,09,2,32,068,05,1,096,01,9,1,5220,1
12,2012,10,2,32,072,10,1,040,02,2,2,    , 
12,2012,10,2,32,073,01,1,041,01,2,1,7124,1
12,2012,10,2,32,073,09,1,049,01,3,1,7122,1
12,2012,10,2,32,074,06,1,076,01,2,1,8322,1
12,2012,10,2,32,074,06,1,076,03,4,1,7432,1
12,2012,10,2,32,075,02,1,052,04,1,1,9152,1
12,2012,10,2,32,075,09,1,059,03,1,1,7122,1
12,2012,10,1,32,076,10,1,070,03, ,1,4112,1
12,2012,10,2,32,077,06,1,086,02,1,2,    , 
12,2012,10,1,32,078,01,1,091,03,1,2,    , 
12,2012,10,1,32,078,03,1,093,04,1,2,    , 
12,2012,10,1,32,078,03,1,093,05,1,2,    , 
12,2012,10,1,32,078,03,1,093,08,6,2,    , 
12,2012,11,2,32,082,09,1,029,03,9,2,    , 
12,2012,11,2,32,084,02,1,042,01,2,1,8324,1
12,2012,11,2,32,084,02,1,042,02,2,2,    , 
12,2012,11,2,32,084,02,1,042,03,2,2,    , 
12,2012,11,2,32,084,06,1,046,03, ,2,    , 
12,2012,11,2,32,086,07,1,117,04, ,2,    , 
12,2012,11,2,32,088,02,1,072,04,1,2,    , 
12,2012,11,2,32,088,09,1,079,03,1,2,    , 
12,2012,11,1,32,089,04,1,084,04,2,2,    , 
12,2012,11,1,32,089,05,1,085,02,3,2,    , 
12,2012,11,1,32,089,10,1,090,03,6,2,    , 
12,2012,11,2,32,090,10,1,100,05,2,1,9152,1
12,2012,12,2,32,092,05,1,065,04,3,2,    , 
12,2012,12,2,32,094,09,1,049,03, ,2,    , 
12,2012,12,2,32,096,10,1,060,04, ,1,7433,1
12,2012,12,2,32,097,03,1,073,05,2,2,    , 
12,2012,12,2,32,097,05,1,075,01,2,1,7141,1
12,2012,12,2,32,098,03,1,093,05,2,2,    , 
12,2012,12,2,32,099,06,1,016,01,3,2,    , 
12,2012,12,2,32,099,07,1,017,04,3,2,    , 
12,2012,12,2,32,101,04,1,034,03, ,2,    , 
12,2012,12,2,32,101,04,1,034,04, ,2,    , 
12,2012,12,2,32,101,06,1,036,03,6,2,    , 
12,2012,12,2,32,101,06,1,036,04,9,2,    , 
12,2012,04,2,33,001,04,1,004,05, ,2,    , 
12,2012,04,2,33,006,01,1,051,02,1,1,1319,3
12,2012,04,2,33,008,05,1,075,03,9,1,7432,1
12,2012,04,2,33,008,05,1,075,05,3,2,    , 
12,2012,04,2,33,008,05,1,075,06,3,2,    , 
12,2012,05,2,33,009,02,1,002,03,1,2,    , 
12,2012,05,2,33,012,05,1,035,04,2,2,    , 
12,2012,05,2,33,012,09,1,039,03,4,2,    , 
12,2012,05,2,33,012,09,1,039,04,4,2,    , 
12,2012,05,2,33,013,04,1,044,01, ,2,    , 
12,2012,05,2,33,015,03,1,063,03, ,2,    , 
12,2012,05,2,33,015,09,1,069,03, ,1,3431,1
12,2012,05,2,33,016,02,1,072,03,3,2,    , 
