REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
 7,2012,05,1,11,029,09,1,089,02,44,50, , ,  , 
 7,2012,05,1,11,029,10,1,090,01,60,30, , ,  , 
 7,2012,05,1,11,029,10,1,090,03,25,  ,2, ,  , 
 7,2012,05,1,11,030,01,1,101,01,50,20, , ,  , 
 7,2012,05,1,11,030,01,1,101,02,45,50, , ,  , 
 7,2012,05,1,11,030,01,1,101,03,50,20, , ,  , 
 7,2012,05,1,11,030,02,1,102,01,50,50, , ,  , 
 7,2012,05,1,11,030,02,1,102,02,30,  ,2, ,  , 
 7,2012,05,1,11,030,02,1,102,04,30,  ,2, ,  , 
 7,2012,05,1,11,030,03,1,103,01,50,60, , ,  , 
 7,2012,05,1,11,030,03,1,103,03,45,45, , ,  , 
 7,2012,05,1,11,030,03,1,103,08,48,52, , ,  , 
 7,2012,05,1,11,030,04,1,104,01,72,84, , ,  , 
 7,2012,05,1,11,030,06,1,106,01,50,65, , ,  , 
 7,2012,05,1,11,030,08,1,108,01,45,50, , ,  , 
 7,2012,05,1,11,030,10,1,110,01,35,35, , ,  , 
 7,2012,05,1,11,031,02,1,172,01,40,40, , ,  , 
 7,2012,05,1,11,031,03,1,173,01,50,50, , ,  , 
 7,2012,05,1,11,031,05,1,175,01,40,40, , ,  , 
 7,2012,05,1,11,031,05,1,175,04,45,45, , ,  , 
 7,2012,05,1,11,031,06,1,176,01,50,50, , ,  , 
 7,2012,05,1,11,031,06,1,176,02,40,40, , ,  , 
 7,2012,05,1,11,031,06,1,176,05,45,45, , ,  , 
 7,2012,05,1,11,031,07,1,177,02,45,45, , ,  , 
 7,2012,05,1,11,031,10,1,180,01,45,45, , ,  , 
 7,2012,05,1,11,031,10,1,180,02,40,40, , ,  , 
 7,2012,05,1,11,032,03,1,063,01,50,50, , ,  , 
 7,2012,05,1,11,032,04,1,064,01,18,  ,2, ,  , 
 7,2012,05,1,11,032,04,1,064,02,45,45, , ,  , 
 7,2012,05,1,11,032,04,1,064,03,45,40, , ,  , 
 7,2012,05,1,11,032,04,1,064,05,50,50, , ,  , 
 7,2012,05,1,11,032,07,1,067,01,55,60, , ,  , 
 7,2012,05,1,11,032,08,1,068,01,35,40, , ,  , 
 7,2012,05,1,11,032,09,1,069,01,50,60, , ,  , 
 7,2012,05,1,11,032,09,1,069,02,45,50, , ,  , 
 7,2012,05,1,11,032,10,1,070,01,45,48, , ,  , 
 7,2012,05,1,11,033,01,1,071,01,42,42, , ,  , 
 7,2012,05,1,11,033,01,1,071,02,40,40, , ,  , 
 7,2012,05,1,11,033,01,1,071,05,35,40, , ,  , 
 7,2012,05,1,11,033,03,1,073,03,55,55, , ,  , 
 7,2012,05,1,11,033,04,1,074,01,40,40, , ,  , 
 7,2012,05,1,11,033,04,1,074,02,21,  ,2, ,  , 
 7,2012,05,1,11,033,04,1,074,04,45,45, , ,  , 
