REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,P1_PERSON_SERIAL_NO,P3_RELATIONSHIP,P4_SEX,P5_AGE,P6_RACE,P7_RELIGION,P8_MARITAL_STATUS,P9_EDUCATIONAL_ATTAINMENT,P10_CURRENT_EDUCATIONAL,P11_LITERACY_SINHALA,P12_LITERACY_TAMIL,P13_LITERACY_ENGLISH
 2,2010,01,1,11,003,05,1,025,02,2,2,30,2,2,2,09,5,2,1,2
 2,2010,01,1,11,003,05,1,025,03,3,1,00,2,2,1,  , , , , 
 2,2010,01,1,11,003,05,1,025,04,3,1,09,2,2,1,04,1, , , 
 2,2010,01,1,11,003,05,1,025,05,5,1,30,2,2,1,05,5,2,1,2
 2,2010,01,1,11,003,06,1,026,01,1,1,48,2,2,2,06,5,2,1,2
 2,2010,01,1,11,003,06,1,026,02,2,2,47,2,2,2,03,5,2,1,2
 2,2010,01,1,11,003,06,1,026,03,3,2,24,2,2,2,10,5,1,1,2
 2,2010,01,1,11,003,06,1,026,04,5,1,26,2,2,2,10,5,2,1,2
 2,2010,01,1,11,003,06,1,026,05,3,1,23,2,2,1,10,5,2,1,2
 2,2010,01,1,11,003,07,1,027,01,1,1,39,1,1,2,10,5,1,2,2
 2,2010,01,1,11,003,07,1,027,02,2,2,39,1,1,2,10,5,1,2,1
 2,2010,01,1,11,003,07,1,027,03,3,1,12,1,1,1,06,1,1,2,2
 2,2010,01,1,11,003,07,1,027,04,3,1,11,1,1,1,05,1,1,2,2
 2,2010,01,1,11,003,08,1,028,01,1,1,48,1,1,2,10,5,1,2,2
 2,2010,01,1,11,003,08,1,028,02,2,2,45,1,1,2,10,5,1,2,2
 2,2010,01,1,11,003,08,1,028,03,3,2,18,1,1,1,11,1,1,1,1
 2,2010,01,1,11,003,08,1,028,04,3,2,08,1,1,1,02,1, , , 
 2,2010,01,1,11,003,09,1,029,01,1,1,45,1,1,2,10,5,1,2,2
 2,2010,01,1,11,003,09,1,029,02,2,2,43,1,1,2,10,5,1,2,2
 2,2010,01,1,11,003,10,1,030,01,1,1,42,4,3,2,13,5,1,1,1
 2,2010,01,1,11,003,10,1,030,02,2,2,36,4,3,2,10,5,1,2,2
 2,2010,01,1,11,003,10,1,030,03,3,1,16,4,3,1,10,1,1,1,1
 2,2010,01,1,11,003,10,1,030,04,3,2,12,4,3,1,07,1,1,2,1
 2,2010,01,1,11,003,10,1,030,05,3,2,10,4,3,1,04,1,1,2,1
 2,2010,01,1,11,003,10,1,030,06,3,1,06,4,3,1,01,1, , , 
 2,2010,01,2,11,004,01,1,031,01,1,1,36,1,1,2,10,5,1,2,2
 2,2010,01,2,11,004,01,1,031,02,2,2,47,2,4,2,19,5,2,2,2
 2,2010,01,2,11,004,01,1,031,03,3,1,09,1,1,1,03,1, , , 
 2,2010,01,2,11,004,02,1,032,01,1,1,45,1,1,2,08,5,1,2,2
 2,2010,01,2,11,004,02,1,032,02,2,2,35,1,1,2,09,5,1,2,2
 2,2010,01,2,11,004,02,1,032,03,3,2,13,1,1,1,08,1,1,2,2
 2,2010,01,2,11,004,02,1,032,04,3,1,07,1,1,1,03,1, , , 
 2,2010,01,2,11,004,03,1,033,01,1,1,33,1,1,2,10,5,1,2,2
 2,2010,01,2,11,004,03,1,033,02,2,2,33,1,1,2,10,5,1,2,2
 2,2010,01,2,11,004,03,1,033,03,3,1,06,1,1,1,01,1, , , 
 2,2010,01,2,11,004,03,1,033,04,3,1,03,1,1,1,  , , , , 
 2,2010,01,2,11,004,04,1,034,01,1,1,91,1,1,2,10,5,1,2,1
 2,2010,01,2,11,004,04,1,034,02,2,2,84,1,1,2,10,5,1,2,1
 2,2010,01,2,11,004,05,1,035,01,1,1,58,1,1,2,10,5,1,2,1
 2,2010,01,2,11,004,05,1,035,02,2,2,56,1,1,2,10,5,1,2,2
 2,2010,01,2,11,004,05,1,035,03,3,1,30,1,1,2,10,5,1,2,1
 2,2010,01,2,11,004,05,1,035,04,5,2,28,1,1,2,15,5,1,2,1
 2,2010,01,2,11,004,05,1,035,05,3,2,28,1,1,2,12,5,1,2,1
 2,2010,01,2,11,004,05,1,035,06,5,1,60,1,1,1,07,5,1,2,2
 2,2010,01,2,11,004,06,1,036,01,1,1,70,1,1,2,06,5,1,2,2
 2,2010,01,2,11,004,06,1,036,02,2,2,63,1,1,2,08,5,1,2,2
 2,2010,01,2,11,004,06,1,036,03,5,1,70,1,1,1,10,5,1,2,2
 2,2010,01,2,11,004,06,1,036,04,5,1,33,1,1,2,10,5,1,2,2
 2,2010,01,2,11,004,06,1,036,05,3,2,29,1,1,2,09,5,1,2,2
 2,2010,01,2,11,004,06,1,036,06,5,1,09,1,1,1,02,1, , , 
 2,2010,01,2,11,004,06,1,036,07,5,1,05,1,1,1,00,1, , , 
 2,2010,01,2,11,004,06,1,036,08,5,2,00,1,1,1,  , , , , 
 2,2010,01,2,11,004,07,1,037,01,1,1,59,1,1,2,10,5,1,2,1
 2,2010,01,2,11,004,07,1,037,02,2,2,57,1,1,2,12,5,1,2,1
 2,2010,01,2,11,004,07,1,037,03,3,1,20,1,1,1,12,3,1,2,1
 2,2010,01,2,11,004,07,1,037,04,3,2,16,1,1,1,10,1,1,2,1
 2,2010,01,2,11,004,08,1,038,01,1,2,54,1,1,2,10,5,1,2,2
 2,2010,01,2,11,004,08,1,038,02,3,2,18,1,1,1,12,1,1,2,1
 2,2010,01,2,11,004,09,1,039,01,1,1,59,1,1,2,09,5,1,2,2
 2,2010,01,2,11,004,09,1,039,02,2,2,56,1,1,2,09,5,1,2,2
 2,2010,01,2,11,004,09,1,039,03,3,2,27,1,1,1,13,5,1,2,2
 2,2010,01,2,11,004,09,1,039,04,3,1,25,1,1,1,12,5,1,2,1
 2,2010,01,2,11,004,09,1,039,05,3,2,21,1,1,1,13,5,1,2,2
 2,2010,01,2,11,004,09,1,039,06,3,2,17,1,1,1,10,5,1,2,2
 2,2010,01,2,11,004,10,1,040,01,1,1,38,1,1,2,09,5,1,2,2
 2,2010,01,2,11,004,10,1,040,02,2,2,32,1,1,2,13,5,1,2,2
 2,2010,01,2,11,004,10,1,040,03,3,1,06,1,1,1,01,1, , , 
 2,2010,01,2,11,004,10,1,040,04,3,2,01,1,1,1,  , , , , 
 2,2010,01,2,11,005,01,1,041,01,1,1,63,1,1,2,09,5,1,2,2
 2,2010,01,2,11,005,01,1,041,02,2,2,59,1,1,2,05,5,1,2,2
 2,2010,01,2,11,005,01,1,041,03,3,1,38,1,1,2,13,5,1,2,2
 2,2010,01,2,11,005,01,1,041,04,5,2,31,1,1,2,13,5,1,2,2
 2,2010,01,2,11,005,01,1,041,05,5,2,06,1,1,1,01,1, , , 
 2,2010,01,2,11,005,01,1,041,06,5,2,03,1,1,1,  , , , , 
 2,2010,01,2,11,005,02,1,042,01,1,2,38,1,1,2,07,5,1,2,2
 2,2010,01,2,11,005,02,1,042,02,2,1,39,1,1,2,11,5,1,2,2
 2,2010,01,2,11,005,02,1,042,03,3,2,08,1,1,1,02,5, , , 
 2,2010,01,2,11,005,04,1,044,01,1,2,71,1,1,3,09,3,1,2,2
 2,2010,01,2,11,005,08,1,045,01,1,1,51,1,1,2,08,5,1,2,2
 2,2010,01,2,11,005,08,1,045,02,2,2,34,1,1,2,11,5,1,2,2
 2,2010,01,2,11,005,08,1,045,03,3,2,15,1,1,1,10,1,1,2,2
 2,2010,01,2,11,005,08,1,045,04,3,2,05,1,1,1,00,1, , , 
 2,2010,01,2,11,005,08,1,045,05,5,2,58,1,1,2,07,5,1,2,2
 2,2010,01,2,11,005,06,1,046,01,1,2,75,1,1,3,11,5,1,2,2
 2,2010,01,2,11,005,06,1,046,02,5,2,32,1,1,2,11,5,1,2,2
 2,2010,01,2,11,005,06,1,046,03,5,2,10,1,1,1,04,1,1,2,2
 2,2010,01,2,11,005,06,1,046,04,5,2,06,1,1,1,01,1, , , 
 2,2010,01,2,11,005,07,1,047,01,1,2,65,1,1,3,08,5,1,2,2
 2,2010,01,2,11,005,07,1,047,02,5,1,73,1,1,1,05,5,1,2,2
 2,2010,01,2,11,005,08,1,048,01,1,1,44,1,1,2,13,5,1,2,1
 2,2010,01,2,11,005,08,1,048,02,2,2,39,1,1,2,11,5,1,2,1
 2,2010,01,2,11,005,08,1,048,03,3,2,10,1,1,1,04,1,1,2,2
 2,2010,01,2,11,005,08,1,048,04,3,2,05,1,1,1,00,1, , , 
 2,2010,01,2,11,005,08,1,048,05,4,2,66,1,1,3,05,5,1,2,2
 2,2010,01,2,11,005,08,1,048,06,5,2,61,1,1,2,08,5,1,2,2
 2,2010,01,2,11,005,08,1,048,07,5,1,70,1,1,2,08,5,1,2,2
 2,2010,01,2,11,005,09,1,049,01,1,1,57,1,1,2,13,5,1,2,1
 2,2010,01,2,11,005,09,1,049,02,2,2,54,1,1,2,13,5,1,2,2
 2,2010,01,2,11,005,09,1,049,03,3,2,31,1,1,1,15,5,1,2,1
 2,2010,01,2,11,005,10,1,050,01,1,2,48,1,1,3,11,5,1,2,2
 2,2010,01,2,11,005,10,1,050,02,3,2,16,1,1,1,11,1,1,2,1
 2,2010,01,2,11,006,01,1,051,01,1,1,55,1,1,2,11,5,1,2,2
