REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q40SERNO,Q40A,Q40B,Q41,Q42,Q43,Q44
 9,2014,03,2,62,48,017,02,1,052,02,40,40, , ,  , 
 9,2014,03,2,62,48,017,03,1,053,01,40,40, , ,  , 
 9,2014,03,2,62,48,017,03,1,053,03,40,40, , ,  , 
 9,2014,03,2,62,48,017,03,1,053,04,40,40, , ,  , 
 9,2014,03,2,62,48,017,05,1,055,02,40,40, , ,  , 
 9,2014,03,2,62,48,017,05,1,055,03,40,40, , ,  , 
 9,2014,03,2,62,48,017,06,1,056,01,40,40, , ,  , 
 9,2014,03,2,62,48,017,06,1,056,02,40,40, , ,  , 
 9,2014,03,2,62,48,017,06,1,056,03,48,48, , ,  , 
 9,2014,03,2,62,48,017,07,1,057,01,40,40, , ,  , 
 9,2014,03,2,62,48,017,08,1,058,01,42,42, , ,  , 
 9,2014,03,2,62,48,017,09,1,059,01,35,35, , ,  , 
 9,2014,03,2,62,48,017,09,1,059,03,35,35, , ,  , 
 9,2014,03,2,62,48,017,10,1,060,01,35,35, , ,  , 
 9,2014,03,2,72,03,009,01,2,002,01,60,60, , ,  , 
 9,2014,03,2,72,03,009,02,1,003,01,48,48, , ,  , 
 9,2014,03,2,72,03,009,07,1,008,01,48,48, , ,  , 
 9,2014,03,2,72,03,009,07,1,008,02,35,35, , ,  , 
 9,2014,03,2,72,03,009,08,1,009,01,40,35, , ,  , 
 9,2014,03,2,72,03,009,08,1,009,02,35,35, , ,  , 
 9,2014,03,2,72,03,009,06,1,007,01,56,00, , ,  , 
 9,2014,03,2,72,03,009,09,1,010,01,40,40, , ,  , 
 9,2014,03,2,72,03,009,10,1,011,01,40,40, , ,  , 
 9,2014,03,2,72,06,010,01,1,012,01,55,55, , ,  , 
 9,2014,03,2,72,06,010,02,1,013,01,50,50, , ,  , 
 9,2014,03,2,72,06,010,02,1,013,02,16,  ,2, ,  , 
 9,2014,03,2,72,06,010,02,1,013,03,50,50, , ,  , 
 9,2014,03,2,72,06,010,03,1,014,01,50,50, , ,  , 
 9,2014,03,2,72,06,010,03,1,014,02,50,50, , ,  , 
 9,2014,03,2,72,06,010,05,1,016,01,45,45, , ,  , 
 9,2014,03,2,72,06,010,05,1,016,03,50,50, , ,  , 
 9,2014,03,2,72,06,010,08,1,019,01,40,40, , ,  , 
 9,2014,03,2,72,06,010,09,1,020,02,50,50, , ,  , 
 9,2014,03,2,72,06,010,07,1,018,01,50,50, , ,  , 
 9,2014,03,2,72,12,011,01,1,042,01,60,70, , ,  , 
 9,2014,03,2,72,12,011,02,1,043,03,48,40, , ,  , 
 9,2014,03,2,72,12,011,05,1,046,01,50,50, , ,  , 
 9,2014,03,2,72,12,011,07,1,048,03,50,50, , ,  , 
 9,2014,03,2,72,12,011,10,1,051,01,75,75, , ,  , 
 9,2014,03,2,72,12,011,06,1,047,01,88,88, , ,  , 
 9,2014,03,2,72,12,011,06,1,047,02,42,42, , ,  , 
 9,2014,03,2,72,12,011,08,1,049,01,64,56, , ,  , 
 9,2014,03,2,72,12,011,08,1,049,02,40,40, , ,  , 
 9,2014,03,2,72,12,011,03,1,044,01,64,56, , ,  , 
 9,2014,03,2,72,12,011,03,1,044,02,99,70, , ,  , 
 9,2014,03,2,72,12,011,03,1,044,03,40,40, , ,  , 
 9,2014,03,2,72,12,011,04,1,045,01,49,49, , ,  , 
 9,2014,03,2,72,15,012,01,1,032,01,72,58, , ,  , 
 9,2014,03,2,72,15,012,02,1,033,03,48,60, , ,  , 
 9,2014,03,2,72,15,012,04,1,035,01,63,63, , ,  , 
 9,2014,03,2,72,15,012,04,1,035,05,60,60, , ,  , 
 9,2014,03,2,72,15,012,05,1,036,01,88,75, , ,  , 
 9,2014,03,2,72,15,012,05,1,036,03,60,60, , ,  , 
 9,2014,03,2,72,15,012,06,1,037,02,90,90, , ,  , 
 9,2014,03,2,72,15,012,07,1,038,01,75,75, , ,  , 
 9,2014,03,2,72,15,012,08,1,039,01,90,55, , ,  , 
 9,2014,03,2,72,15,012,08,1,039,03,54,54, , ,  , 
 9,2014,03,2,72,15,012,09,1,040,05,54,60, , ,  , 
 9,2014,03,2,72,15,012,10,1,041,01,60,60, , ,  , 
 9,2014,03,2,72,18,013,02,1,023,01,40,40, , ,  , 
 9,2014,03,2,72,18,013,03,1,024,01,40,40, , ,  , 
 9,2014,03,2,72,18,013,04,1,025,01,40,40, , ,  , 
 9,2014,03,2,72,18,013,05,1,026,01,40,40, , ,  , 
 9,2014,03,2,72,18,013,05,1,026,02,40,40, , ,  , 
 9,2014,03,2,72,18,013,05,1,026,06,40,40, , ,  , 
 9,2014,03,2,72,18,013,06,1,027,01,40,40, , ,  , 
 9,2014,03,2,72,18,013,06,1,027,02,50,50, , ,  , 
 9,2014,03,2,72,18,013,07,1,028,01,50,50, , ,  , 
 9,2014,03,2,72,18,013,09,1,030,03,50,50, , ,  , 
 9,2014,03,2,72,18,013,09,1,030,04,45,45, , ,  , 
 9,2014,03,2,72,18,013,09,1,030,05,45,45, , ,  , 
 9,2014,03,2,44,09,007,01,1,001,01,48,48, , ,  , 
 9,2014,03,2,44,09,007,01,1,001,02,45,45, , ,  , 
 9,2014,03,2,44,09,007,02,1,002,01,45,25,1,2,20,1
 9,2014,03,2,44,09,007,02,1,002,03,38,31, , ,  , 
