REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,TEMP,RCODE1,RCODE2,RCODE3,TIME1,TIME2,TIME3,G4,G5,FCODE
 1,2014,03,2,91,12,022,09,1,029,  ,6, , ,  ,  ,  ,00,00,3
 1,2014,03,2,91,12,022,10,1,030,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,18,023,01,1,031,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,18,023,02,1,032,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,91,18,023,03,1,033,  ,1,1, ,50,25,  ,00,00,1
 1,2014,03,2,91,18,023,04,1,034,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,91,18,023,05,1,035,  ,1,1, ,35,20,  ,00,00,1
 1,2014,03,2,91,18,023,06,1,036,  ,6,6,6,  ,  ,  ,00,00,3
 1,2014,03,2,91,18,023,07,1,037,  ,1,1, ,35,30,  ,00,00,1
 1,2014,03,2,91,18,023,08,1,038,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,18,023,09,1,039,  ,1,1, ,30,35,  ,00,00,1
 1,2014,03,2,91,18,023,10,1,040,  ,1,1, ,35,25,  ,00,00,1
 1,2014,03,2,91,24,024,01,1,051,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,91,24,024,02,1,052,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,91,24,024,03,1,053,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,24,024,04,1,054,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,91,24,024,05,1,055,  , ,1, ,  ,40,  ,00,00,1
 1,2014,03,2,91,24,024,06,1,056,  ,3, , ,  ,  ,  ,00,00,3
 1,2014,03,2,91,24,024,07,1,057,  ,6, , ,  ,  ,  ,00,00,3
 1,2014,03,2,91,24,024,08,1,058,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,24,024,09,1,059,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,91,24,024,10,1,060,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,91,30,025,01,1,071,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,30,025,02,1,072,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,30,025,03,1,073,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,30,025,04,1,074,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,91,30,025,05,1,075,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,30,025,06,1,076,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,30,025,07,1,077,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,91,30,025,08,1,078,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,91,30,025,09,1,079,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,30,025,10,1,080,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,91,36,026,01,1,041,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,91,36,026,02,1,042,  ,4,1, ,  ,50,  ,00,00,1
 1,2014,03,2,91,36,026,03,1,043,  ,4,1, ,  ,45,  ,00,00,1
 1,2014,03,2,91,36,026,04,1,044,  ,4,4,1,  ,  ,30,00,00,1
 1,2014,03,2,91,36,026,05,1,045,  ,4,4,4,  ,  ,  ,00,00,3
 1,2014,03,2,91,36,026,06,1,046,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,36,026,07,1,047,  ,4,4,1,  ,  ,40,00,00,1
 1,2014,03,2,91,36,026,08,1,048,  ,4,1, ,  ,25,  ,00,00,1
 1,2014,03,2,91,36,026,09,1,049,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,36,026,10,1,050,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,91,42,027,01,1,091,  ,4,1, ,  ,95,  ,00,00,1
 1,2014,03,2,91,42,027,02,1,092,  ,6,6,6,  ,  ,  ,00,00,3
 1,2014,03,2,91,42,027,03,1,093,  ,1, , ,80,  ,  ,00,00,1
 1,2014,03,2,91,42,027,04,1,094,  ,7, , ,  ,  ,  ,00,00,3
 1,2014,03,2,91,42,027,05,1,095,  ,4,2,1,  ,  ,45,00,00,1
 1,2014,03,2,91,42,027,06,1,096,  ,6,6,1,  ,  ,30,00,00,1
 1,2014,03,2,91,42,027,07,1,097,  ,2,1, ,  ,45,  ,00,00,1
 1,2014,03,2,91,42,027,08,1,098,  ,1, , ,75,  ,  ,00,00,1
 1,2014,03,2,91,42,027,09,1,099,  ,4,6,1,  ,  ,40,00,00,1
 1,2014,03,2,91,42,027,10,1,100,  ,2,3, ,  ,  ,  ,00,00,3
 1,2014,03,2,91,48,028,01,1,011,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,48,028,02,1,012,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,91,48,028,03,1,013,  ,6,1, ,  ,55,  ,00,00,1
 1,2014,03,2,91,48,028,04,1,014,  ,6,1, ,  ,30,  ,00,00,1
 1,2014,03,2,91,48,028,05,1,015,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,91,48,028,06,1,016,  ,6,1, ,  ,35,  ,00,00,1
 1,2014,03,2,91,48,028,07,1,017,  ,6,1, ,  ,40,  ,00,00,1
 1,2014,03,2,91,48,028,08,1,018,  ,6,6, ,  ,  ,  ,00,00,3
 1,2014,03,2,91,48,028,09,1,019,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,48,028,10,1,020,  ,6,6, ,  ,  ,  ,00,00,3
 1,2014,03,2,91,51,029,01,1,061,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,91,51,029,02,1,062,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,91,51,029,03,1,063,  ,6,1, ,  ,30,  ,00,00,1
 1,2014,03,2,91,51,029,04,1,064,  ,4,1, ,  ,30,  ,00,00,1
 1,2014,03,2,91,51,029,05,1,065,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,51,029,06,1,066,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,91,51,029,07,1,067,  ,6,6, ,  ,  ,  ,00,00,3
 1,2014,03,2,91,51,029,08,1,068,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,91,51,029,09,1,069,  ,2, , ,  ,  ,  ,00,00,3
 1,2014,03,2,91,51,029,10,1,070,  ,6,6, ,  ,  ,  ,00,00,3
 1,2014,03,2,62,03,012,01,1,001,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,03,012,02,1,002,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,03,012,03,1,003,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,03,012,04,1,004,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,03,012,05,1,005,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,03,012,06,1,006,  ,4,4, ,15,15,  ,00,00,2
 1,2014,03,2,62,03,012,07,1,007,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,03,012,08,1,008,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,03,012,09,1,009,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,03,012,10,1,010,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,15,013,01,1,011,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,62,15,013,02,1,012,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,15,013,03,1,013,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,62,15,013,04,1,014,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,62,15,013,05,1,015,  ,4,1, ,  ,35,  ,00,00,1
 1,2014,03,2,62,15,013,06,1,016,  ,3, , ,  ,  ,  ,00,00,3
 1,2014,03,2,62,15,013,07,1,017,  ,4,1, ,  ,45,  ,00,00,1
 1,2014,03,2,62,15,013,08,1,018,  ,4,1, ,  ,45,  ,00,00,1
 1,2014,03,2,62,15,013,09,1,019,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,15,013,10,1,020,  ,4,1, ,  ,35,  ,00,00,1
 1,2014,03,2,62,24,014,01,1,021,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,62,24,014,02,1,022,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,62,24,014,03,1,023,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,62,24,014,04,1,024,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,62,24,014,05,1,025,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,24,014,06,1,026,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,24,014,07,1,027,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,62,24,014,08,1,028,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,62,24,014,09,1,029,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,62,24,014,10,1,030,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,36,015,01,1,031,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,36,015,02,1,032,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,62,36,015,03,1,033,  ,4,1, ,20,40,  ,00,00,1
 1,2014,03,2,62,36,015,04,1,034,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,36,015,05,1,035,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,36,015,06,1,036,  ,4,4,4,  ,  ,  ,00,00,2
 1,2014,03,2,62,36,015,07,1,037,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,36,015,08,1,038,  ,4,4,1,00,00,40,00,00,1
 1,2014,03,2,62,36,015,09,1,039,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,36,015,10,1,040,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,42,016,01,1,041,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,62,42,016,02,1,042,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,62,42,016,03,1,043,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,62,42,016,04,1,044,  ,6,1, ,  ,20,  ,00,00,1
 1,2014,03,2,62,42,016,05,1,045,  ,6,1, ,  ,40,  ,00,00,1
 1,2014,03,2,62,42,016,06,1,046,  ,6,1, ,  ,45,  ,00,00,1
