REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q7_PERSON_SERIAL_NO,Q7_MAIN_ECONAMIC_ACTIVITY,Q8_MAIN_ACTIVITY_PLACE,Q9_STATUS_OF_OCCUPATION,Q10_TYPE_OF_OCCUPATION,Q11_PENSION_CONTRIBUTION,Q12_ENTITILED_PAID_LEAVE,Q13_WORK_SECTOR
04,2006,01,2,11,010,03,1,095,02,7213,5020,1,2,2,2,3
04,2006,01,2,11,010,03,1,095,04,8322,6022,3, , , , 
04,2006,01,2,11,010,04,1,096,02,9313,4521,1,3,2,2,3
04,2006,01,2,11,010,04,1,096,03,4211,5213,1,1,1,1,2
04,2006,01,2,11,010,05,1,097,03,7436,1810,1,1,1,2,3
04,2006,01,2,11,010,06,1,098,01,9114,5520,1,1,1,1,3
04,2006,01,2,11,010,07,1,099,01,7122,4521,3, , , , 
04,2006,01,2,11,010,08,1,100,01,3423,7491,1,1,3,2,3
04,2006,01,2,11,010,09,1,101,02,9341,9600,1,3,3,2,3
04,2006,01,2,11,010,09,1,101,03,8322,6022,3, , , , 
04,2006,01,2,11,010,10,1,102,02,8322,6022,3, , , , 
04,2006,01,2,11,010,10,1,102,05,9162,8030,1,1,1,1,1
04,2006,01,2,11,011,01,1,103,01,3439,5234,3, , , , 
04,2006,01,2,11,011,02,1,104,01,1315,5520,3, , , , 
04,2006,01,2,11,011,02,1,104,02,1229,6592,1,1,1,1,3
04,2006,01,2,11,011,02,1,104,03,3340,8090,3, , , , 
04,2006,01,2,11,011,03,1,105,03,4131,7512,1,1,1,1,1
04,2006,01,2,11,011,04,1,106,01,6111,0190,3, , , , 
04,2006,01,2,11,011,04,1,106,03,4113,2520,1,2,2,2,3
04,2006,01,2,11,011,05,1,107,02,3151,4521,3, , , , 
04,2006,01,2,11,011,07,1,109,01,8223,1531,1,1,2,2,3
04,2006,01,2,11,011,07,1,109,02,5220,5520,3, , , , 
04,2006,01,2,11,011,08,1,110,01,1312,2721,2, , , , 
04,2006,01,2,11,011,09,1,111,01,4115,7522,1,1,1,1,1
04,2006,01,2,11,011,09,1,111,02,2359,7512,1,1,1,1,1
04,2006,01,2,11,011,10,1,112,01,8122,2731,1,1,1,1,3
04,2006,01,2,11,012,01,1,113,01,1229,6603,1,1,1,1,3
04,2006,01,2,11,012,02,1,115,01,1312,1729,3, , , , 
04,2006,01,2,11,012,02,1,115,02,1312,1729,3, , , , 
04,2006,01,2,11,012,02,1,115,03,7436,1810,1,3,4,4,3
04,2006,01,2,11,012,03,1,116,03,1316,6024,2, , , , 
04,2006,01,2,11,012,05,1,118,01,7122,4521,1,4, , , 
04,2006,01,2,11,012,06,1,119,01,7239,5020,1,2,2,2,3
04,2006,01,2,11,012,07,1,120,01,6152,0603,3, , , , 
