REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
07,2006,01,2,12,006,10,1,060,02,48,48, , ,  , 
07,2006,01,2,12,006,10,1,060,03,40,40, , ,  , 
07,2006,01,2,12,007,01,1,061,04,40,40, , ,  , 
07,2006,01,2,12,007,02,1,062,03,60,60, , ,  , 
07,2006,01,2,12,007,02,1,062,04,35,35, , ,  , 
07,2006,01,2,12,007,03,1,063,01,40,35, , ,  , 
07,2006,01,2,12,007,03,1,063,04,40,40, , ,  , 
07,2006,01,2,12,007,04,1,064,02,35,35, , ,  , 
07,2006,01,2,12,007,05,1,065,02,40,40, , ,  , 
07,2006,01,2,12,007,06,1,066,01,60,60, , ,  , 
07,2006,01,2,12,007,07,1,067,01,48,36, , ,  , 
07,2006,01,2,12,007,07,1,067,02,44,44, , ,  , 
07,2006,01,2,12,007,08,1,068,03,60,60, , ,  , 
07,2006,01,2,12,007,09,1,069,02,60,70, , ,  , 
07,2006,01,2,12,007,09,1,069,04,60,60, , ,  , 
07,2006,01,2,12,007,09,1,069,05,36,36, , ,  , 
07,2006,01,2,12,007,10,1,070,04,35,35, , ,  , 
07,2006,01,2,12,008,01,1,071,01,45,45, , ,  , 
07,2006,01,2,12,008,02,1,072,02,48,48, , ,  , 
07,2006,01,2,12,008,03,1,073,03,45,45, , ,  , 
07,2006,01,2,12,008,04,1,074,01,45,45, , ,  , 
07,2006,01,2,12,008,07,1,077,01,60,60, , ,  , 
07,2006,01,2,12,008,08,1,078,01,72,72, , ,  , 
07,2006,01,2,12,008,09,1,079,01,72,72, , ,  , 
07,2006,01,2,12,008,10,1,080,04,90,90, , ,  , 
07,2006,01,2,12,008,10,1,080,06,90,90, , ,  , 
07,2006,01,2,12,009,03,1,083,01,54,54, , ,  , 
07,2006,01,2,12,009,03,1,083,02,72,72, , ,  , 
07,2006,01,2,12,009,03,1,083,03,60,60, , ,  , 
07,2006,01,2,12,009,04,1,084,01,70,70, , ,  , 
07,2006,01,2,12,009,04,1,084,02,40,40, , ,  , 
07,2006,01,2,12,009,06,1,086,01,70,70, , ,  , 
07,2006,01,2,12,009,07,1,087,01,45,54, , ,  , 
07,2006,01,2,12,009,07,1,087,03,54,54, , ,  , 
07,2006,01,2,12,009,07,1,087,04,60,60, , ,  , 
07,2006,01,2,12,009,07,1,087,05,30,  ,2, ,  , 
07,2006,01,2,12,009,08,1,088,01,48,48, , ,  , 
07,2006,01,2,12,009,08,1,088,02,40,40, , ,  , 
07,2006,01,2,12,009,09,1,089,01,48,70, , ,  , 
07,2006,01,2,12,009,10,1,090,01,60,70, , ,  , 
07,2006,01,2,12,010,01,1,091,01,51,51, , ,  , 
07,2006,01,2,12,010,01,1,091,02,25,  ,2, ,  , 
07,2006,01,2,12,010,02,1,092,02,42,00, , ,  , 
07,2006,01,2,12,010,04,1,094,01,27,  ,2, ,  , 
07,2006,01,2,12,010,04,1,094,02,30,  ,1,3,60,1
07,2006,01,2,12,010,05,1,095,01,48,48, , ,  , 
07,2006,01,2,12,010,05,2,096,01,28,  ,2, ,  , 
07,2006,01,2,12,010,07,1,098,01,07,  ,2, ,  , 
07,2006,01,2,12,010,08,1,099,01,40,00, , ,  , 
07,2006,01,2,12,010,08,1,099,02,14,  ,2, ,  , 
07,2006,01,2,12,010,08,1,099,03,40,32, , ,  , 
07,2006,01,2,12,010,09,1,100,01,40,40, , ,  , 
07,2006,01,2,12,010,09,1,100,02,77,55, , ,  , 
07,2006,01,2,12,010,10,1,101,01,90,90, , ,  , 
07,2006,01,2,12,011,01,1,102,01,48,48, , ,  , 
07,2006,01,2,12,011,03,1,104,01,56,56, , ,  , 
07,2006,01,2,12,011,04,1,105,01,60,60, , ,  , 
07,2006,01,2,12,011,05,1,106,01,40,16, , ,  , 
07,2006,01,2,12,011,05,1,106,02,20,  ,1,3,40,1
07,2006,01,2,12,011,06,1,107,04,30,  ,2, ,  , 
07,2006,01,2,12,011,07,1,108,01,56,24, , ,  , 
07,2006,01,2,12,011,10,1,111,01,40,32, , ,  , 
07,2006,01,2,12,012,01,1,112,01,40,40, , ,  , 
07,2006,01,2,12,012,02,1,113,01,40,48, , ,  , 
07,2006,01,2,12,012,03,1,114,01,48,16, , ,  , 
07,2006,01,2,12,012,04,1,115,02,30,  ,2, ,  , 
07,2006,01,2,12,012,05,1,116,03,40,00, , ,  , 
07,2006,01,2,12,012,05,1,116,04,40,48, , ,  , 
07,2006,01,2,12,012,07,1,118,01,40,08, , ,  , 
07,2006,01,2,12,012,07,1,118,05,40,32, , ,  , 
07,2006,01,2,12,012,08,1,119,01,44,44, , ,  , 
07,2006,01,2,12,012,08,1,119,04,28,  ,2, ,  , 
07,2006,01,2,12,012,10,1,121,01,56,32, , ,  , 
07,2006,01,2,12,012,10,1,121,03,56,00, , ,  , 
07,2006,01,2,12,013,03,1,124,01,15,  ,2, ,  , 
07,2006,01,2,12,013,03,1,124,03,35,24, , ,  , 
07,2006,01,2,12,013,04,1,125,02,60,60, , ,  , 
07,2006,01,2,12,013,04,1,125,03,60,60, , ,  , 
07,2006,01,2,12,013,06,1,127,03,60,60, , ,  , 
07,2006,01,2,12,013,06,1,127,06,05,  ,1,1,20,1
07,2006,01,2,12,013,07,1,128,05,70,70, , ,  , 
07,2006,01,2,12,013,07,1,128,06,90,90, , ,  , 
07,2006,01,2,12,013,08,1,129,01,45,45, , ,  , 
07,2006,01,2,12,013,08,1,129,02,45,45, , ,  , 
