REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
05,2006,01,2,11,018,06,1,179,02, , , ,48,56
05,2006,01,2,11,018,07,1,180,01, , , ,40,48
05,2006,01,2,11,018,08,1,181,04,1,1,2,84,84
05,2006,01,2,11,018,08,1,181,05,2,2,7,50,40
05,2006,01,2,11,018,10,1,183,01,1,1,6,40,40
05,2006,01,2,11,018,10,1,183,06,1,1,4,40,56
05,2006,01,1,12,001,01,1,001,01,1,1,6,48,48
05,2006,01,1,12,001,02,1,002,01,2,2,8,56,56
05,2006,01,1,12,001,03,1,003,03,2,2,8,60,60
05,2006,01,1,12,001,03,1,003,04,1,1,6,48,56
05,2006,01,1,12,001,03,1,003,08,2,2,8,60,60
05,2006,01,1,12,001,03,1,003,10,2,2,7,60,40
05,2006,01,1,12,001,04,1,004,04,2,2,1,42,50
05,2006,01,1,12,001,05,1,005,01,2,2,1,48,48
05,2006,01,1,12,001,06,1,006,01,1,1,6,45,60
05,2006,01,1,12,001,07,1,007,01,2,2,8,30,30
05,2006,01,1,12,001,07,1,007,02,2,2,8,40,40
05,2006,01,1,12,001,07,1,007,03,1,1,4,60,70
05,2006,01,1,12,001,09,1,009,01,2,2,7,48,36
05,2006,01,1,12,001,09,1,009,02,2,2,7,56,56
05,2006,01,1,12,001,09,1,009,04,1,1,6,54,72
05,2006,01,1,12,002,02,1,012,01,1,1,4,66,60
05,2006,01,1,12,002,03,1,013,01,2,2,2,55,55
05,2006,01,1,12,002,04,1,014,04,1,1,6,54,27
05,2006,01,1,12,002,05,1,015,01,2,2,7,72,72
05,2006,01,1,12,002,06,1,016,01,2,2,7,28,28
