REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q33_PERSON_SERIAL_NO,Q33_EXPECT_A_JOB,Q34_STEPS_TAKEN_FIND_JOB,Q351_STEPS_TAKEN_1ST,Q352_STEPS_TAKEN_2ND,Q353_STEPS_TAKEN_3RD,Q36_REASON_NOT_TAKING_ACTION
09,2008,01,1,11,009,09,1,090,03,2, , , , , 
09,2008,01,1,11,009,09,1,090,05,2, , , , , 
09,2008,01,1,11,009,09,1,090,07,2, , , , , 
09,2008,01,2,11,010,01,1,092,02,2, , , , , 
09,2008,01,2,11,010,02,1,093,03,1,1,3, , , 
09,2008,01,2,11,010,03,1,094,04,2, , , , , 
09,2008,01,2,11,010,04,1,095,04,2, , , , , 
09,2008,01,2,11,010,04,1,095,05,2, , , , , 
09,2008,01,2,11,010,05,1,096,02,2, , , , , 
09,2008,01,2,11,010,05,1,096,07,2, , , , , 
09,2008,01,2,11,010,06,1,097,01,2, , , , , 
09,2008,01,2,11,010,06,1,097,02,2, , , , , 
09,2008,01,2,11,010,06,1,097,03,2, , , , , 
09,2008,01,2,11,010,06,1,097,05,2, , , , , 
09,2008,01,2,11,010,07,1,098,02,2, , , , , 
09,2008,01,2,11,010,07,1,098,03,2, , , , , 
09,2008,01,2,11,010,08,1,099,01,2, , , , , 
09,2008,01,2,11,010,08,1,099,02,2, , , , , 
09,2008,01,2,11,010,08,1,099,04,2, , , , , 
09,2008,01,2,11,010,09,1,100,02,2, , , , , 
09,2008,01,2,11,010,09,1,100,03,2, , , , , 
09,2008,01,2,11,010,09,1,100,04,2, , , , , 
09,2008,01,2,11,010,09,1,100,05,2, , , , , 
09,2008,01,2,11,010,10,1,101,03,2, , , , , 
09,2008,01,2,11,010,10,1,101,04,2, , , , , 
09,2008,01,2,11,010,10,1,101,05,2, , , , , 
09,2008,01,2,11,011,01,1,102,02,2, , , , , 
09,2008,01,2,11,011,01,1,102,05,2, , , , , 
09,2008,01,2,11,011,02,1,103,01,2, , , , , 
09,2008,01,2,11,011,02,1,103,02,2, , , , , 
09,2008,01,2,11,011,03,1,104,03,1,1,5, , , 
09,2008,01,2,11,011,04,1,105,02,2, , , , , 
09,2008,01,2,11,011,06,1,107,02,2, , , , , 
09,2008,01,2,11,011,06,1,107,03,2, , , , , 
09,2008,01,2,11,011,07,1,108,02,2, , , , , 
09,2008,01,2,11,011,08,1,109,02,1,2, , , ,6
09,2008,01,2,11,011,09,1,110,02,2, , , , , 
09,2008,01,2,11,011,09,1,110,03,2, , , , , 
09,2008,01,2,11,012,01,1,112,01,2, , , , , 
09,2008,01,2,11,012,02,1,113,02,2, , , , , 
09,2008,01,2,11,012,02,1,113,03,2, , , , , 
09,2008,01,2,11,012,03,1,114,02,2, , , , , 
09,2008,01,2,11,012,04,1,115,01,2, , , , , 
09,2008,01,2,11,012,04,1,115,02,2, , , , , 
09,2008,01,2,11,012,05,1,116,01,2, , , , , 
09,2008,01,2,11,012,06,1,117,01,2, , , , , 
09,2008,01,2,11,012,06,1,117,03,2, , , , , 
09,2008,01,2,11,012,06,1,117,04,2, , , , , 
09,2008,01,2,11,012,06,1,117,05,2, , , , , 
09,2008,01,2,11,012,06,1,117,06,2, , , , , 
09,2008,01,2,11,012,07,1,118,02,2, , , , , 
09,2008,01,2,11,012,08,1,119,03,2, , , , , 
09,2008,01,2,11,012,08,1,119,04,2, , , , , 
09,2008,01,2,11,012,08,1,119,05,2, , , , , 
09,2008,01,2,11,012,08,1,119,06,2, , , , , 
09,2008,01,2,11,012,09,1,120,03,2, , , , , 
09,2008,01,2,11,012,09,1,120,04,2, , , , , 
09,2008,01,2,11,012,10,1,121,02,2, , , , , 
09,2008,01,2,11,012,10,1,121,05,2, , , , , 
09,2008,01,2,11,013,01,1,122,03,2, , , , , 
09,2008,01,2,11,013,04,1,125,02,2, , , , , 
09,2008,01,2,11,013,04,1,125,03,2, , , , , 
09,2008,01,2,11,013,04,1,125,04,2, , , , , 
09,2008,01,2,11,013,05,1,126,02,2, , , , , 
09,2008,01,2,11,013,06,1,127,02,2, , , , , 
09,2008,01,2,11,013,07,1,128,03,2, , , , , 
09,2008,01,2,11,013,07,1,128,04,2, , , , , 
09,2008,01,2,11,013,07,1,128,05,2, , , , , 
09,2008,01,2,11,013,07,1,128,06,2, , , , , 
09,2008,01,2,11,013,09,1,130,02,2, , , , , 
09,2008,01,2,11,013,09,1,130,03,2, , , , , 
09,2008,01,2,11,013,09,1,130,04,2, , , , , 
09,2008,01,2,11,013,10,1,131,02,2, , , , , 
09,2008,01,2,11,013,10,1,131,05,2, , , , , 
09,2008,01,2,11,014,01,1,132,02,2, , , , , 
09,2008,01,2,11,014,01,1,132,04,1,1,1,2, , 
09,2008,01,2,11,014,01,1,132,05,2, , , , , 
09,2008,01,2,11,014,03,1,134,02,2, , , , , 
09,2008,01,2,11,014,04,1,135,02,2, , , , , 
09,2008,01,2,11,014,04,1,135,03,2, , , , , 
09,2008,01,2,11,014,06,1,137,02,2, , , , , 
09,2008,01,2,11,014,07,1,138,03,2, , , , , 
09,2008,01,2,11,014,08,1,139,01,2, , , , , 
09,2008,01,2,11,014,08,1,139,02,2, , , , , 
09,2008,01,2,11,014,09,1,140,02,2, , , , , 
09,2008,01,2,11,014,10,1,141,02,2, , , , , 
09,2008,01,2,11,015,01,1,142,04,2, , , , , 
09,2008,01,2,11,015,02,1,143,04,2, , , , , 
09,2008,01,2,11,015,06,1,147,02,2, , , , , 
09,2008,01,2,11,015,06,1,147,03,2, , , , , 
09,2008,01,2,11,015,07,1,148,02,2, , , , , 
09,2008,01,2,11,015,08,1,149,01,2, , , , , 
09,2008,01,2,11,015,08,1,149,03,2, , , , , 
09,2008,01,2,11,015,08,1,149,04,2, , , , , 
09,2008,01,2,11,015,08,1,149,05,2, , , , , 
09,2008,01,2,11,015,09,1,150,01,2, , , , , 
09,2008,01,2,11,015,09,1,150,02,2, , , , , 
09,2008,01,2,11,015,10,1,151,01,2, , , , , 
